ground_targeted_circle	T1	115	ground_targeted_circle — motion signature: ground_place; delivery class: zone; exemplar skills: Plague, Blaze, Blizzard, Fissure, Meteor
melee_strike	T1	115	melee_strike — motion signature: point_strike; delivery class: melee_arc; exemplar skills: Fulmination, Holy Reckoning, Zeal, Vengeance, Berserk
self_buff	T1	112	self_buff — motion signature: none attested (no path signature); delivery class: aura; exemplar skills: Death Speaker, Bone Armor, Enchant, Fade, Werewolf
totem	T1	97	totem — motion signature: none attested (no path signature); delivery class: summon_delegate; exemplar skills: Rocket Drone, Stinger turret / Holy Lance Turret, Lightning Sentry, Iron Golem, Grim Ward
single_target	T1	90	single_target — motion signature: straight_line; delivery class: projectile; exemplar skills: Rocketeer, Screaming Skull, Glacial Spike, Bone Spirit, Guided Arrow
melee_arc	T1	76	melee_arc — motion signature: arc_sweep; delivery class: melee_arc; exemplar skills: Grim Scythe, Crippling Wave, Sweep Attack, Spectral Blade, Flurry
aura	T1	73	aura — motion signature: none attested (no path signature); delivery class: aura; exemplar skills: Conviction aura, Battle Orders, Fanaticism aura, Shout, Lower Resist
multi_projectile	T1	68	multi_projectile — motion signature: fan_spread; delivery class: projectile; exemplar skills: Multiple Shot, Strafe, Frozen Orb, Phoenix Strike, Double Throw
line	T1	51	line — motion signature: straight_line; delivery class: projectile; exemplar skills: Precision bow shot, Blade Fury, Ice Blast, Bone Spear, Molten Boulder
ring	T1	50	ring — motion signature: burst_around_self; delivery class: zone; exemplar skills: Nova, Static Field, Poison Nova, Ring of Fire, Condemn
circle	T2	43	circle — motion signature: burst_around_self; delivery class: zone; exemplar skills: Spirit of Torment / Outbreak, Bone Prison, Armageddon, War Cry, Tornado
whirlwind	T2	33	whirlwind — motion signature: orbit_fixed; delivery class: motion; exemplar skills: Whirlwind, Strafe, Tempest Rush, Eye of Reckoning, Reaper's Scythe
dash_attack	T2	32	dash_attack — motion signature: straight_line; delivery class: motion; exemplar skills: Charge, Dashing Strike, Steed Charge, Furious Charge, Seven-Sided Strike
ground_slam	T2	27	ground_slam — motion signature: point_strike; delivery class: melee_arc; exemplar skills: Hammer of the Ancients, Earthquake, Ancient Spear: Boulder Toss, Pulverize, Bolting Crash
beam_channel	T2	23	beam_channel — motion signature: straight_line; delivery class: beam; exemplar skills: Inferno, Heaven's Fury, Disintegrate, Siphon Blood, Incinerate
blink	T3	18	blink — motion signature: straight_line; delivery class: motion; exemplar skills: Spirit Walk, Falling Sword, Blood Rush, Shadow Step, Wraith Form
cone	T3	18	cone — motion signature: fan_spread; delivery class: zone; exemplar skills: Howl, Shockwave, Flame Wave, Seismic Slam, Way of the Hundred Fists
orbit	T3	18	orbit — motion signature: orbit_fixed; delivery class: motion; exemplar skills: Frozen Orb, Blessed Hammer, Blade Spirit, Ring Blades, Blade Vortex
chain	T3	17	chain — motion signature: chain_hop; delivery class: beam; exemplar skills: Chain Lightning / Avenger passive, Chain Lightning, Claws of Thunder, Rabies, Touch of Death
vortex_pull	T3	15	vortex_pull — motion signature: inward_pull; delivery class: zone; exemplar skills: Abyss, Cyclone Strike, Black Hole, Corpse Tendrils, Whirlpool
placed_lane	T3	9	placed_lane — motion signature: lane_place; delivery class: zone; exemplar skills: Blade Sentinel, Fire Wall, Slow Time, Wall of Death, Bone Wall
ricochet_bounce	T3	9	ricochet_bounce — motion signature: ricochet_return; delivery class: projectile; exemplar skills: Saw blade, Loose Blade cascade, Rapid Fire, Spinning Shield, Aegis of Menhir
teleport	T3	8	teleport — motion signature: blink_translate; delivery class: motion; exemplar skills: Teleport, Teleport (Enigma runeword), Teleport (repositioning), Shadow Strike (+Nightfall)
leap_strike	T3	8	leap_strike — motion signature: leap_arc; delivery class: motion; exemplar skills: Leap, Leap Attack, Leaping Dragon, Fox Leap, Starfall Pounce
fork	T3	5	fork — motion signature: fork_split; delivery class: projectile; exemplar skills: Lightning Fury, Panetti's Replicating Missile, Galvanic Shards, Scatter Shot
defensive_dash	T4	4	defensive_dash — motion signature: none attested (no path signature); delivery class: none attested (unbanded); exemplar skills: Evade (Rushing Claw / Evasive Swipe variant), Divine Dash (Athena boon — deflect on every dash), Divine Dash (Athena — Deflect source), Light Feather artifact (dash with knockback)
