2026-08-25T01:02:22Z	star-lord	gandalf-session-85515	RELEASE	D-1..D-8 vendor-lane build	completion=dddd232d; claim was pre-ledger (founding incident § 11.1); KR stand-down ledgered same incident
2026-08-25T01:02:29Z	jack-ryan	gandalf-session-85515	CLAIM	Gate-2 on dddd232d + § 11 ratification	spec § 11.3 claim-before-spawn; first post-codification claim
2026-08-25T01:14:30Z	jack-ryan	gandalf-session-85515	RELEASE	Gate-2 on dddd232d + § 11 ratification	completion=gandalf/requests/2026-08-24-jack-ryan-lane-spec-ratification.md ADDENDUM 2; GATE-2 PASS-WITH-FINDINGS (G2-1, G2-2, Amendment J); § 11 RATIFIED-WITH-AMENDMENTS K, L; first full ledgered claim/release cycle
2026-08-25T01:14:44Z	jack-ryan	gandalf-session-53631d11	CLAIM	G-2c micro-sitting (U1-BUILD run ledger L-29: re-derive two red gate tests + rule backfill axis-conflation)	spec § 11.3 claim-before-spawn; RUN U1-BUILD seal-blocking
2026-08-25T01:20:22Z	star-lord	gandalf-session-85515	CLAIM	Gate-2 residuals + custody build (J equality-binding test, G2-1 effort= run-log field, G2-2 token-floor cost line, D-9 custody subcommand under K/L, D-10 tests); RELEASE on completion-record commit	spec § 11.3 claim-before-spawn; Amendment L release-condition named
2026-08-25T01:28:27Z	jack-ryan	gandalf-session-53631d11	RELEASE	G-2c micro-sitting (U1-BUILD run ledger L-29: re-derive two red gate tests + rule backfill axis-conflation)	completion=4d2abff7; G-2c CLEARS (backfill ruled temporal-with-honest-null, no correction row owed; 79/79; conductor mutation re-proof confirmed)
2026-08-25T01:51:27Z	star-lord	gandalf-session-85515	RELEASE	Gate-2 residuals + custody build	completion=84a04d55+099a6d3e+5c81be18; J bound (7/7 mutations killed), G2-1 effort= on row, G2-2 floor=28170 named, D-9/D-10 shipped (71 tests verified from conductor hands); release condition satisfied per claim row
2026-08-25T02:31:59Z	drax	gandalf-session-53631d11	CLAIM	POST-SEAL fix: Glance CI typecheck failure in fleet-card.test.ts (deploy RED since fleet card landed)	spec § 11.3 claim-before-spawn
2026-08-25T02:36:53Z	drax	gandalf-session-53631d11	RELEASE	POST-SEAL fix: Glance CI typecheck failure in fleet-card.test.ts (deploy RED since fleet card landed)	completion=8224a59c; declaration-not-suppression (fleet.d.mts); tsc exit 0; 128/128 incl fleet-card 12/12; conductor re-verified
2026-08-25T02:52:33Z	jack-ryan	jack-ryan-session-x6-gate2	CLAIM	X-6 ruling + Step-2 Gate-2 + canonical-doc-format 6.3 clause ratification	RETRO-FILED at session close, declared not glossed (#70) — spec 11.3 claim-before-spawn was not honored; no collision occurred (verified: no concurrent writer on canonical-doc-format.md, SKILL.md, or the HOLD)
2026-08-25T02:52:33Z	jack-ryan	jack-ryan-session-x6-gate2	RELEASE	X-6 ruling + Step-2 Gate-2 + canonical-doc-format 6.3 clause ratification	completion=dispatches/2026-08-24-jack-ryan-u4-router-x5-x6-gate2-standing.md Completion record; X-6 ADOPTED as #75 clause 5 (75.5); both s2 tags PASS-WITH-FINDINGS; 6.3 clauses 4/4a/5 RATIFIED-WITH-AMENDMENT M; HOLD discharged
2026-08-25T14:10:46Z	star-lord	gandalf-session-53631d11	CLAIM	U11-BUILD B-1: Claude-lane usage emitter (transcript -> flight rows; run ledger 2026-08-25-u11-build-run-ledger.md)	spec 11.3 claim-before-spawn
